Test size, Queue Time Taken, Stack Time Taken
100,24,21
1100,199,233
2100,330,360
3100,504,533
4100,648,657
5100,769,868
6100,966,996
7100,1109,1224
8100,1248,1436
9100,1465,1524
10100,1813,2047
11100,1913,1886
12100,1914,2173
13100,2237,2246
14100,2334,2510
15100,2853,2760
16100,2636,4258
17100,2835,2921
18100,3449,3216
19100,3119,4144
20100,3266,3628
21100,3416,3769
22100,3774,3953
23100,4385,4129
24100,4116,4352
25100,4194,4503
26100,4417,4985
27100,4855,4927
28100,4690,5113
29100,4976,5306
30100,4902,5398
31100,5277,5658
32100,6770,5824
33100,5642,5911
34100,5820,6726
35100,6363,6219
36100,6080,6473
37100,6345,6682
38100,7218,7004
39100,6581,7241
40100,6978,8602
41100,7011,7899
42100,7751,7359
43100,7112,8771
44100,7694,8200
45100,8026,8189
46100,7898,8612
47100,8543,8716
48100,9528,8790
49100,9185,8999
50100,9188,9159
51100,8688,9247
52100,10317,9220
53100,9027,10156
54100,9308,9745
55100,9475,10026
56100,9721,10156
57100,9790,10223
58100,11097,11086
59100,10316,10636
60100,10025,12752
61100,10700,11230
62100,10837,12911
63100,10500,11497
64100,11081,11799
65100,12417,12793
66100,12347,11901
67100,11744,13015
68100,12160,12755
69100,11726,12759
70100,13410,12876
71100,12073,13493
72100,12272,13955
73100,12721,13816
74100,13946,13579
75100,13263,14138
76100,13193,13468
77100,13300,15069
78100,13384,15415
79100,14378,15221
80100,13622,14628
81100,15323,14761
82100,14046,15688
83100,13837,16294
84100,14877,15750
85100,15608,15679
86100,14655,15448
87100,14765,15860
88100,14799,15984
89100,15482,16513
90100,15606,16514
91100,15298,17300
92100,15547,16918
93100,16952,17862
94100,15986,17617
95100,16428,17489
96100,16398,17752
97100,16573,19250
98100,16570,19214
99100,17145,18257
